Course Code,Title,Description,Skill Labels_1,Skill Labels_2,Skill Labels_3,Skill Labels_4,Skill Labels_5,Skill Labels_6,Skill Labels_7,Skill Labels_8,Skill Labels_9,Skill Labels_10,Skill Labels_11,Skill Labels_12,Skill Labels_13,Skill Labels_14,Skill Labels_15,Skill Labels_16,Skill Labels_17,Skill Labels_18,Skill Labels_19,Skill Labels_20,Skill Labels_21,Skill Labels_22,Skill Labels_23,Skill Labels_24,Skill Labels_25,Skill Labels_26,Skill Labels_27,Skill Labels_28,Skill Labels_29,Skill Labels_30,Skill Labels_31,Skill Labels_32,Skill Labels_33,Skill Labels_34,Skill Labels_35,Skill Labels_36,Skill Labels_37,Skill Labels_38,Skill Labels_39,Skill Labels_40
LDR 7980,Capstone,"Offers students an opportunity to increase their impact and effectiveness as a leader. Students develop an initiative for a real-life project that can be work-, community-, or university-based or, for a consulting case project, students develop a case study and case analysis. The case is a short description of a situation facing an organization and must be based on field research, depict real-life events, and describe a situation that requires a decision. The case analysis outlines the key issues in the case, identifies alternative scenarios for solutions, and provides the conceptual justification for the student’s recommendation using relevant reference material from College of Professional Studies graduate courses. The capstone project is an action-based leadership project.",Field Research,Leadership,Time Management,Presentations,Project Planning,Case Analysis,Management,Practicum,Project Management,Leadership Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 5900,Foundations of Project Management,"Examines the differences between general and project management responsibilities. Introduces the Guide to the Project Management Body of Knowledge (PMBOK), which provides a structured approach to understanding project process groups and knowledge areas needed to manage any size project through a complete project life cycle. Explains high-level distinctions between project, program, and portfolio management. Includes an introduction to Microsoft Project, which is one of the most widely utilized project management software tools. Strongly recommended for students with little or no formal project management experience.",Cost Estimation Models,Project Charter,Work Breakdown Structure,Change Management,Project Management Body Of Knowledge (PMBOK) Methodology,Data Collection,Project Management Software,Integration,Baselining,Project Planning,Project Closure,Resource Allocation,Requirements Traceability,Project Management Life Cycle,Six Sigma Methodology,Auditing,Program Evaluation And Review Technique,Leadership Styles,Program Management,Management,Program Evaluations,PRINCE2  (PRojects IN Controlled Environments 2),Activity Sequencing,Milestones (Project Management),Resource Leveling,Project Management,Portfolio Management,Microsoft Project,Scope Statements,Control Systems,Organizational Structure,,,,,,,,,
PJM 6000,Project Management Practices,"Provides an overview of the project management process. Emphasizes project definition, identification of project scope, project life cycle, and project planning. Uses case studies to examine best practices and common project management pitfalls.",Project Charter,Work Breakdown Structure,Leadership,Project Planning,Project Closure,Project Management Life Cycle,Organizational Structure,Change Control,Business Case,Project Management Process,Stakeholder Analysis,Project Scoping,Project Management,Scope Statements,Project Initiation Documentation,Indicators,Project Sponsorship,Microsoft Project,Ethics And Compliance,Strategic Planning,,,,,,,,,,,,,,,,,,,,
PJM 6005,Project Scope Management,"Offers insight into how projects are defined, evaluated, and ultimately translated into manageable project requirements and concrete deliverables. By learning how to identify stakeholder needs and convert those needs into viable, measurable project scope documentation, a project manager can successfully manage not only a project’s scope but also make informed recommendations when trade-offs between project scope, cost, and schedule become necessary.",Requirements Elicitation,Work Breakdown Structure,Project Governance,Stakeholder Management,Requirements Management,Project Planning,Testability,SMART Criteria,Change Control,Business Case,Traceability Matrix,Project Scoping,Project Management,Project Stakeholders,Scope Statements,Project Charter,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6015,Project Risk Management,"Examines quantitative techniques for risk assessment and decision making, as well as the steps and elements of a risk management plan, including the ongoing monitoring of risk factors. The accurate identification of risks, and understanding of how to account for the potential impact of risks, can greatly impact the likelihood of project success.",Monte Carlo Methods,Calculations,Risk Management,Data Collection,Prioritization,Stakeholder Management,Sensitivity Analysis,Risk Register,Project Planning,Program Evaluation And Review Technique,Probability,Risk Analysis,Brainstorming,Stakeholder Analysis,Project Management,Risk Management Planning,Surveys,Quantification,Project Risk Management,Quantitative Analysis,Qualitative Analysis,,,,,,,,,,,,,,,,,,,
PJM 6025,Project Scheduling and Cost Planning,"Builds on the project schedule to explore cost estimation methods, break-even analysis, and earned value management. Studies effective tools and techniques that can allow project managers to translate specifications to realistic project plans that lead to a resource-loaded schedule and baseline budget. These tools and techniques can be used to minimize bottlenecks and downtime, identify and plan for resource needs, develop contingencies, and manage risk and scope creep. Topics include schedule development, cost estimating, and cost and schedule management through earned value management. A well-thought-out and well-managed schedule is critical to successful project management and is integral to the efficient management of project costs. Offers students an opportunity to learn to manage the project budget, revise cost estimates, and develop confidence levels.",Risk Management,Work Breakdown Structure,Corrective And Preventive Action (CAPA),Scope Creep,Project Estimation,Budgeting,Negotiation,Earned Value Management,Project Planning,Cost Estimation,Resource Allocation,Sourcing,Cost Management,Management,Precedence Diagram Method,Break-Even Analysis,Milestones (Project Management),Procurement,Project Management,Critical Path Method,Microsoft Project,Resource Management,,,,,,,,,,,,,,,,,,
PJM 6075,Project Finance,"Explores real-world cases of project finance across industry sectors (e.g., energy, resource recovery, and mining) to examine how organizations structure their capital to mitigate various project risks and to secure scarce resources in the business environment. Topics include capital structure, discounted cash flow, financial instruments, capital budgeting, cost of capital, risk and return, project agreements, project cost accumulation, project cost allocation, and project investment ranking.Offers students an opportunity to develop a profound understanding of the principles of project finance.",Calculations,Procurement Management,Variable Cost,Computer Simulation,Capital Markets,Common Stock,Financial Modeling,Activity-Based Costing,Dividend Policy,Rate Of Return,Cost Of Capital,Net Present Value,Capital Budgeting,Income Tax,Contribution Margins,SMART Criteria,Cash Flows,Financial Engineering,Risk Analysis,Discounted Cash Flow,Capital Structures,Investments,Weighted Average Cost Of Capital (WACC),Equator Principles,Preferred Stock,Corporate Finance,Project Management,Project Cost Management,Project Finance,Project Stakeholders,Financial Instrument,Project Risk Management,Contract Management,,,,,,,
PJM 6125,Project Evaluation and Assessment,"Offers students an opportunity to learn to develop metrics for determining and reporting project performance. Examines both quantitative and qualitative approaches of evaluation, with an emphasis on earned value management. Examines stakeholder analysis and techniques for reporting performance results.",Performance Management,Forecasting,Change Management,Reporting Tools,Dashboard,Earned Value Management,Performance Measurement,Change Control,Program Evaluations,Stakeholder Analysis,Project Stakeholders,Key Performance Indicators (KPIs),Qualitative Analysis,Quantitative Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6135,Project Quality Management,"Designed to provide detailed instruction in Project Quality Management (PQM) processes, one of the nine knowledge areas outlined in the Project Management Institute’s Project Management Body of Knowledge. Discusses how to integrate PQM processes into the overall project plan and how to prepare a PQM plan. Encourages students to work together in a team environment to complete a PQM plan for a project.",Corrective And Preventive Action (CAPA),Decision Making,Quality Management,Project Management Body Of Knowledge (PMBOK) Methodology,Data Collection,Minitab,Quality Auditing,Statistical Process Controls,Pareto Chart,Quality Control,Six Sigma Methodology,Control Chart,Quality Management Systems,Project Management,Data Analysis,Control Limits,Sampling (Statistics),Process Analysis,Scatter Plots,Process Improvements,,,,,,,,,,,,,,,,,,,,
PJM 6140,Managing Troubled Projects,"Examines how to prevent failed and troubled projects, how to perform a project assessment/audit, how to develop a troubled project recovery plan, and how to develop a failed project shutdown plan. Includes team presentations of case study assignments to gain experience in managing and avoiding failed and troubled projects, one of the most significant assignments for a project manager.",Performance Metric,Risk Management,Forecasting,Change Management,Corrective And Preventive Action (CAPA),Quality Management,Scope Creep,Stakeholder Management,Communication Planning,Financial Modeling,Performance Auditing,Organizational Structure,Auditing,Team Building,Cash Flows,Project Assessments,Conflict Resolution,Project Scoping,Project Management,Project Risk Management,,,,,,,,,,,,,,,,,,,,
PJM 6145,Global Project Management,"Expands the detailed treatment of project management into the global areas of environmental factors, national differences, cultural differences, outsourcing, and virtual project management. The state of the art in project management has advanced to heavy use of global project management. Addresses the Project Management Institute’s Project Management Body of Knowledge practices as applied in the organization and the future of project management.",Offshoring,Team Management,Global Leadership,Leadership,International Business,Virtual Team,Cultural Diversity,Management,Outsourcing,Team Performance Management,Project Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6175,Project Resource Management,"Offers an overview of procurement management and human resource management and studies how these two knowledge areas are key to a project’s success. Describes the processes necessary to effectively purchase or acquire products, services, or results for a given project through the lens of the project manager and procurement office. Examines how to effectively acquire, develop, and manage human resources in various organizational settings.",Procurement Management,Responsibility Assignment Matrix,Purchasing,Negotiation,Project Management Life Cycle,Human Resource Management,Auditing,Team Building,Staff Planning,Managing Vendors,Procurement,Project Management,Resource Management,Sourcing,Contract Management,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6180,Project Stakeholder Management,"Offers students an opportunity to learn the mechanisms necessary to effectively identify all stakeholders, including the people, groups, or organizations that are impacted or may have an impact on the project. Examines how to analyze stakeholder expectations and how to develop management strategies for effective stakeholder engagement throughout the project.",Stakeholder Engagement,Change Management,Stakeholder Management,Kickoff Meetings,Project Management Life Cycle,Ethical Conduct,Team Building,Management,Stakeholder Analysis,Conflict Resolution,Project Stakeholders,Brainstorming,Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6205,Leading and Managing Technical Projects,"Offers students an opportunity to learn about leadership and management skills and strategies needed to succeed in a demanding technical project environment. Many project managers understand the technical aspects of a particular project environment but lack these critical management and leadership skills. Topics covered include understanding the technical environment, managing and motivating team members, understanding organizational culture, interpersonal strategies, and developing a personal leadership approach.",Communications,Project Management Software,Stakeholder Management,Leadership,Technical Communication,Technical Management,Team Building,Management,Technical Information,Stakeholder Analysis,Project Management,Project Stakeholders,Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6210,Communication Skills for Project Managers,"Offers students an opportunity to learn strategies for communicating technical concepts in a clear, concise, and appropriate manner for both written and oral communication media. In all project environments, communication is critical for project success. The ability to craft project reports and to communicate with customers, clients, team members, and company executives is critical for anyone leading technical projects. Often, the project manager needs to communicate technical data to a nontechnical audience. Explores various communication models and approaches with a focus on applying those models in a real-world context.",Communications,Communication Planning,Technical Communication,Organizational Communications,Written Communication,Technical Information,Communication Strategies,Project Management,Stakeholder Communications,Project Stakeholders,Oral Communication,Stakeholder Analysis,Progress Reporting,Ethics And Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6215,Leading Remote Project Teams,"Offers students an opportunity to learn strategies for creating a cohesive, high-performing project team in a remote project environment. The challenges of leading a remote project team are apparent to anyone who has attempted it. The technological challenges are complicated by the reality that most teams have participants located around the world. Therefore, we face not only the standard fare of interpersonal challenges but also cultural challenges as well.",Virtual Environment,Communications,Virtual Collaboration,Leadership,Virtual Team,Project Collaboration,Cultural Diversity,Information Sharing,Leadership Styles,Team Building,Consensus Decision-Making,Conflict Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6610,Foundations of Project Business Analysis,"Offers a framework of business analysis. Topics include the role of the business analyst in the current organizational environment, understanding the business need, working with key stakeholders to identify the benefits of the project, and strategies to lead the organizational change necessary to harvest value.",Project Charter,Change Management,Key Performance Indicators (KPIs),Project Management Life Cycle,Business Case,Benefits Realisation Management,Business Analysis,Project Management,Artificial Intelligence,Business Strategies,Process Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6630,Project Business Analysis: Requirements Planning and Analysis,"Explores tools and techniques to convert customer needs into solution designs. Beginning with the current and future state of the project’s product, applies tools and techniques to create, review, and prioritize requirements.",Business Process,Verification And Validation,Project Charter,Requirements Elicitation,Change Management,Prioritization,Writing,Requirements Analysis,Business Analysis,Project Management,Product Requirements Documents,Project Initiation Documentation,Stakeholder Analysis,Requirements Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6640,Leadership Strategies for the Business Analyst,"Introduces the techniques applied by the business analyst to work with stakeholders in the requirements process. Emphasizes the processes of facilitation, communication, problem solving, consensus building, and negotiation. A central part of the course requires students to participate in and evaluate facilitated simulations.",Problem Solving,Communications,Requirements Elicitation,Stakeholder Engagement,Leadership,Negotiation,Baselining,Business Requirements,Leadership Styles,Human Communication,Consensus Decision-Making,Business Analysis,Conflict Resolution,Stakeholder Communications,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6710,Introduction to Program and Portfolio Management,"Examines project, program, and portfolio management with a primary focus on the similarities and distinctions between program management and portfolio management. Offers students an opportunity to develop and evidence a foundational understanding of program and portfolio management and the critical role these play within today’s global environment.",Governance,Policy Development,Program Management,Project Portfolio Management,Project Management,Portfolio Management,Business Strategies,Strategic Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6810,Principles of Agile Project Management,"Provides an overview of the fundamentals of agile project management. Topics include agile vs. traditional approaches, the agile manifesto, and the development of agile as a value-added business practice. Introduces key agile project management practices, including communication management planning and risk-management planning. Reviews agile-specific practices and method tailoring from an application perspective. Investigates agile project management tools.",Communications,Scrum (Software Development),Requirements Specifications,Project Estimation,Agile Management,Project Planning,Continuous Improvement Process,User Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6620,Project Business Analysis: Needs Assessment,Focuses on specific approaches to understand the needs of customers who receive project solutions. Discusses techniques for uncovering and confirming the product scope that result in meeting project goals. Applies analytical thinking techniques to ensure solutions meet customer needs.,Requirements Elicitation,Customer Analysis,Data Visualization,Mapping,Stakeholder Management,Prototype (Computer Science),Idea Generation,Systems Thinking,Persona (User Experience),Needs Analysis,Analytics,Storytelling,Design Thinking,Business Analysis,Project Scoping,Artificial Intelligence,Innovation,Visualization,Requirements Analysis,Requirements Specifications,Requirements Management,,,,,,,,,,,,,,,,,,,
PJM 6820,Agile Implementation and Governance,Explores the implementation of agile within an organization and the governance structure to support agile projects. Studies the use of change management techniques to address stakeholder needs as the organization moves from a traditional to agile or blended approach to projects. Reviews and applies advanced topics in program/ portfolio management in agile environments. Offers students an opportunity to develop an implementation strategy and governance plan.,Change Management,Leadership,Agile Management,Governance,Organizational Structure,Business Alignment,Program Management,Management,Project Portfolio Management,Project Management,Portfolio Management,Innovation,Agile Leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM 6825,Agile Lean Product Development,"Offers a practical overview of modern lean/agile product exposure based on contemporary industry practice. To win in today’s competitive market requires giving your business the ability to deliver highly profitable products faster than the competition. Covers the complete life cycle of product management, from identifying customers and users through to sales, marketing, and managing teams. Covers how to minimize investment and output while maximizing the information discovered in order to support effective decision making.",Kanban Principles,New Product Development,Scrum (Software Development),Change Management,Decision Making,Product Management,Lean Product Development,Leadership,Agile Management,Prototype (Computer Science),Prototyping,Presentations,User Experience Design (UX),Governance,Value Proposition,Project Management,User Story,DevOps,,,,,,,,,,,,,,,,,,,,,,
PJM 6910,Capstone,"Offers students an opportunity to utilize all of the project management skills they have acquired in this master’s certificate program to evaluate project processes and outcomes of a single project throughout the entire project life cycle. Examines both quantitative and qualitative methodologies, with an emphasis on tactical approaches and earned value management. Also examines stakeholder analysis and practical techniques for reporting performance results. Intended to be the final course in the project management curriculum after successful completion of all other courses.",Risk Management,Work Breakdown Structure,Change Management,Quality Management,Project Management Body Of Knowledge (PMBOK) Methodology,Communication Planning,Time Management,Integration,Earned Value Management,Risk Register,Project Planning,Project Closure,Coordinating,Project Management Life Cycle,Change Request,Cost Management,Change Control,Procurement,Project Management,Microsoft Project,Scope Statements,Risk Management Planning,Stakeholder Management,Procurement Management,Ethics And Compliance,Leadership,Resource Management,,,,,,,,,,,,,
PJM 6983,Topics,Covers special topics in project management. May be repeated without limit.,Data Collection,Communication Planning,Project Planning,Research,Milestones (Project Management),Stakeholder Analysis,Project Scoping,Project Management,Data Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
